customer_id,campaign_id,date_acquired,plan,revenue,months_active,churned
1,1,2025-01-01,monthly,30.0,2,False
2,1,2025-01-01,monthly,120.0,8,True
3,1,2025-01-01,annual,100.0,12,False
4,1,2025-01-01,monthly,90.0,6,False
5,1,2025-01-01,monthly,60.0,4,True
6,1,2025-01-01,monthly,150.0,10,True
7,1,2025-01-01,monthly,150.0,10,True
8,1,2025-01-01,annual,100.0,12,True
9,1,2025-01-01,annual,100.0,12,False
10,1,2025-01-01,monthly,90.0,6,True
11,1,2025-01-01,monthly,165.0,11,True
12,1,2025-01-01,monthly,150.0,10,False
13,1,2025-01-01,annual,100.0,12,False
14,1,2025-01-01,monthly,105.0,7,False
15,1,2025-01-01,monthly,60.0,4,True
16,1,2025-01-01,annual,100.0,12,False
17,1,2025-01-01,monthly,120.0,8,False
18,1,2025-01-01,monthly,165.0,11,True
19,1,2025-01-01,monthly,165.0,11,False
20,1,2025-01-01,annual,100.0,12,False
21,1,2025-01-01,monthly,105.0,7,False
22,1,2025-01-01,monthly,135.0,9,False
23,1,2025-01-01,monthly,90.0,6,False
24,1,2025-01-01,annual,100.0,12,False
25,1,2025-01-01,annual,100.0,12,True
26,1,2025-01-01,monthly,45.0,3,False
27,1,2025-01-01,annual,100.0,12,True
28,1,2025-01-01,monthly,90.0,6,False
29,1,2025-01-01,annual,100.0,12,False
30,1,2025-01-01,monthly,30.0,2,False
31,1,2025-01-01,monthly,135.0,9,False
32,1,2025-01-01,annual,100.0,12,False
33,1,2025-01-01,monthly,75.0,5,True
34,1,2025-01-01,annual,100.0,12,False
35,1,2025-01-01,monthly,30.0,2,False
36,1,2025-01-01,annual,100.0,12,False
37,1,2025-01-01,monthly,120.0,8,True
38,1,2025-01-01,monthly,135.0,9,False
39,1,2025-01-01,monthly,90.0,6,False
40,1,2025-01-01,annual,100.0,12,False
41,1,2025-01-01,annual,100.0,12,False
42,1,2025-01-01,annual,100.0,12,False
43,1,2025-01-01,annual,100.0,12,False
44,1,2025-01-01,annual,100.0,12,False
45,1,2025-01-01,monthly,60.0,4,False
46,1,2025-01-01,monthly,60.0,4,True
47,1,2025-01-01,annual,100.0,12,False
48,1,2025-01-01,monthly,15.0,1,False
49,1,2025-01-01,monthly,165.0,11,True
50,1,2025-01-01,monthly,45.0,3,True
51,1,2025-01-01,monthly,135.0,9,False
52,1,2025-01-01,monthly,105.0,7,False
53,1,2025-01-01,monthly,45.0,3,False
54,1,2025-01-01,annual,100.0,12,False
55,1,2025-01-02,monthly,165.0,11,True
56,1,2025-01-02,monthly,105.0,7,True
57,1,2025-01-02,annual,100.0,12,True
58,1,2025-01-02,monthly,150.0,10,False
59,1,2025-01-02,annual,100.0,12,False
60,1,2025-01-02,monthly,60.0,4,True
61,1,2025-01-02,monthly,165.0,11,False
62,1,2025-01-02,monthly,15.0,1,False
63,1,2025-01-02,annual,100.0,12,False
64,1,2025-01-02,monthly,120.0,8,False
65,1,2025-01-02,monthly,120.0,8,False
66,1,2025-01-02,annual,100.0,12,False
67,1,2025-01-02,monthly,30.0,2,False
68,1,2025-01-02,monthly,165.0,11,False
69,1,2025-01-02,annual,100.0,12,False
70,1,2025-01-02,monthly,150.0,10,False
71,1,2025-01-02,annual,100.0,12,True
72,1,2025-01-02,monthly,120.0,8,True
73,1,2025-01-02,monthly,30.0,2,False
74,1,2025-01-02,annual,100.0,12,False
75,1,2025-01-02,monthly,135.0,9,False
76,1,2025-01-02,annual,100.0,12,False
77,1,2025-01-02,monthly,90.0,6,False
78,1,2025-01-02,annual,100.0,12,True
79,1,2025-01-02,monthly,120.0,8,False
